text,created_at,retweet_count,url
"뉴진스 미개봉 새상품 정품 굿즈 양도 판매 sell

파워퍼프걸 메탈 키링 하니
파워퍼프걸 아크릴 스마트톡 하니
파워퍼프걸 아크릴 스마트톡 버니

바이오 확인 후 dm 주세요

newjeans md hanni 버니즈 버니니 라인프렌즈 powerpuffgirls 포카 pc poca wts smarttok keyring 그립톡 팝업 https://t.co/iBwAA1TuO7",2024-07-20T06:50:04.000Z,0,https://twitter.com/twitter/status/1814553345337516328
"RT @madzzic: 하 오늘 꿈에서
뉴진사 새멤버로 데뷔하는데
안무도 하나도 모르고 진심 저 아줌마 뭐냐는 소리 들어서 너무 괴로웠음 심지어 연말무대에서 데뷔해가지고 인터넷 난리나고 민희진은 저거 쫓아내라고 소리지르고 뉴진스 멤버들이 나 불편해하…",2024-07-20T06:49:58.000Z,1696,https://twitter.com/twitter/status/1814553319127584948
"뉴진스 슈퍼내추럴 무라카미 드로잉 백 미개봉 양도

개당 1.9
unopened album

미개봉이기 때문에 누락, 하자 책임X
디엠 주세요!

Newjeans Supernatural NJ x Murakami Drawstring Bag poca pc pob wts sell weverse minji hanni haerin hyein 스트링 가방 짐색 https://t.co/tXfBOd437y",2024-07-20T06:49:51.000Z,0,https://twitter.com/twitter/status/1814553289717129687
"RT @NewJeans_twt: My favorite flower!!🍭💘🌼

#NewJeans #뉴진스 #DANIELLE #다니엘 https://t.co/NfZhb54RdK",2024-07-20T06:49:50.000Z,6580,https://twitter.com/twitter/status/1814553283056574977
뉴진스 x 포트나이트 기대되네요 이번 콜라보는 별탈없이 잘 성공하길,2024-07-20T06:49:45.000Z,0,https://twitter.com/twitter/status/1814553265021067665
"🐶🐱

#NewJeans #뉴진스 #DANIELLE #HAERIN https://t.co/ygYIOXp7E5",2024-07-20T06:49:40.000Z,0,https://twitter.com/twitter/status/1814553241063202972
"RT @MarkJP1008: NewJeans x PUBG storyboard

#NewJeans #뉴진스 
#NewJeans_is_Everywhere
#Minji #Hanni #Haerin #Hyein #Danielle https://t.co/rkd…",2024-07-20T06:49:35.000Z,115,https://twitter.com/twitter/status/1814553223128359432
"뉴진스 슈퍼내추럴 공방포카 양도

민지 1.8 해린 2.8 다니엘 1.3 혜인 1.0
전체 일괄 구매시 6.5

전부 하자 없습니다! 디엠 주세요~

Newjeans supernatural minji hanni haerin danielle hyein murakami Drawstring Bag poca pc pob wts sell weverse broadcast 사녹 음방 https://t.co/hZ59nkakRj",2024-07-20T06:49:35.000Z,0,https://twitter.com/twitter/status/1814553219743314108
"RT @kingcowbaby_: New jeans 뉴진스 line friends pop-up 라인 프렌즈 팝업 supernatural 슈퍼내추럴 photocard 포카 거래 양도해요 
DM / 카톡 주세요
eng ✔️

newjeans 뉴진스 pho…",2024-07-20T06:49:25.000Z,1,https://twitter.com/twitter/status/1814553180228776196
"뉴진스 미개봉 새상품 정품 굿즈 양도 판매 sell

버니니 코스튬 플러시 핑크 
플러피 키링

바이오 확인 후 dm 주세요

newjeans hanni 하니 버니즈 버니니 라인프렌즈 md 토끼 tokki pink 포카 pc poca wts doll keyring bunini linefriends 팝업 민지 minji 해린 haerin 다니엘 danielle 혜인 https://t.co/DAnitDO2gd",2024-07-20T06:49:25.000Z,0,https://twitter.com/twitter/status/1814553180212240645
💛 240713 뉴진스 음중 사녹2   1n번 성공 https://t.co/rLfpmkvZJC,2024-07-20T06:49:13.000Z,0,https://twitter.com/twitter/status/1814553128420974693
RT @NewJeansCharts: The rumored @FortniteGame x @NewJeans_ADOR collab will include a concert within the game and skins that will be release…,2024-07-20T06:49:08.000Z,375,https://twitter.com/twitter/status/1814553106610622698
"RT @madzzic: 하 오늘 꿈에서
뉴진사 새멤버로 데뷔하는데
안무도 하나도 모르고 진심 저 아줌마 뭐냐는 소리 들어서 너무 괴로웠음 심지어 연말무대에서 데뷔해가지고 인터넷 난리나고 민희진은 저거 쫓아내라고 소리지르고 뉴진스 멤버들이 나 불편해하…",2024-07-20T06:49:03.000Z,1696,https://twitter.com/twitter/status/1814553088608641526
"RT @MarkJP1008: Itzy Yeji used Supernatural on her new post

#NewJeans #뉴진스 https://t.co/GEVkApmnvd",2024-07-20T06:49:02.000Z,208,https://twitter.com/twitter/status/1814553082140950630
"RT @MarkJP1008: Itzy Yeji used Supernatural on her new post

#NewJeans #뉴진스 https://t.co/GEVkApmnvd",2024-07-20T06:49:00.000Z,208,https://twitter.com/twitter/status/1814553075098788200
"RT @JPNGenius: #GeniusCharts | 今週の Genius Japan 総合 TOP 10 ソング・チャート (2024.7.10–7.16 集計／W28)

1位 Megan Thee Stallion ft. 千葉雄喜
2位 BE:FIRST &amp; A…",2024-07-20T06:48:50.000Z,267,https://twitter.com/twitter/status/1814553033499681100
"RT @newjeans_loop: 天ちゃん Supernatural 

#뉴진스 #NewJeans 
#櫻坂46 
#山﨑天 https://t.co/HY1HRFrdTQ",2024-07-20T06:48:46.000Z,754,https://twitter.com/twitter/status/1814553014671216934
"RT @joker_bunnies: 🎬~!!         📹🧢
#놀러와요_뉴진스숲 
#뉴진스 #Newjeans #NEWーじーんず #뉴진스2주년카페 https://t.co/UaVknmpqNb",2024-07-20T06:48:45.000Z,2,https://twitter.com/twitter/status/1814553011949346923
"RT @UpdatesNewJeans: [📢] 

Fortnite will collaborate with NewJeans in December 

#NewJeans #뉴진스 https://t.co/2RrtbVFNNA",2024-07-20T06:48:42.000Z,571,https://twitter.com/twitter/status/1814553000570200084
RT @newjeans_loop: #뉴진스 #NewJeans #하니 #Hanni #ハニ #해린 #Haerin #ヘリン https://t.co/iB0FjA2b2X,2024-07-20T06:48:40.000Z,318,https://twitter.com/twitter/status/1814552992676233400
"RT @tribedaloca: [🎥]
트라이비의 틱톡 영상이 업로드 되었습니다🎶
Supernatural🍀

🔗 https://t.co/PVE9JVCzZH

#트라이비 #TRI_BE 
#현빈 #HyunBin #미레 #MiRe #켈리 #kelly 
#뉴…",2024-07-20T06:48:39.000Z,49,https://twitter.com/twitter/status/1814552987647549527
"#뉴진스 #NewJeans #민지 #Minji #ミンジ

She’s unreal 

 https://t.co/6wJqciZVpv",2024-07-20T06:48:38.000Z,0,https://twitter.com/twitter/status/1814552982081417459
RT @serinepi: 리헨즈 : 기인아 넌 내 아이돌이야 내 뉴진스는 바로 KT의 기인이야 기인아 그럼 춤춰주면? #KTWin #Lehends #Kiin https://t.co/4c0czl5IRy,2024-07-20T06:48:29.000Z,26,https://twitter.com/twitter/status/1814552946346242241
"RT @madzzic: 하 오늘 꿈에서
뉴진사 새멤버로 데뷔하는데
안무도 하나도 모르고 진심 저 아줌마 뭐냐는 소리 들어서 너무 괴로웠음 심지어 연말무대에서 데뷔해가지고 인터넷 난리나고 민희진은 저거 쫓아내라고 소리지르고 뉴진스 멤버들이 나 불편해하…",2024-07-20T06:48:00.000Z,1696,https://twitter.com/twitter/status/1814552823561892276
"RT @MBC_entertain: 아ㅏㅏㅏㅏㅏㅏ
(다들 아시겠지만) 고봉밥진스 음중에서 하입보이까지 했어~~🥹🥹🥹
덕분에 즐거웠습니다~✨✨🐥

📷 ☞https://t.co/fLrVawLhMk

240713 #쇼음악중심 #음중 #뉴진스 #NewJean…",2024-07-20T06:47:58.000Z,810,https://twitter.com/twitter/status/1814552813361639765
RT @bluemoon_hn: 240720 WOWOWプライム #뉴진스 #NewJeans https://t.co/Q7KC4qOlxS,2024-07-20T06:47:55.000Z,40,https://twitter.com/twitter/status/1814552802259316884
RT @bluemoon_hn: 240720 WOWOWプライム #뉴진스 #NewJeans https://t.co/Q7KC4qOlxS,2024-07-20T06:47:36.000Z,40,https://twitter.com/twitter/status/1814552722714313156
"RT @UpdatesNewJeans: [📢] 

Fortnite will collaborate with NewJeans in December 
